,Blinkroot,Daybloom,Deathweed,Fireblossom,Moonglow,Shiverthorn,Waterleaf
Herb_Bag_218,21,14,15,9,23,17,15
Herb_Bag_219,19,16,42,25,25,10,9
Herb_Bag_220,22,11,28,16,23,20,14
Herb_Bag_221,25,16,38,19,36,17,13
Herb_Bag_222,21,17,21,19,26,29,10
Herb_Bag_223,15,27,27,21,14,19,10
Herb_Bag_224,23,23,37,17,18,0,3
Herb_Bag_225,6,21,16,6,30,21,1
Herb_Bag_226,31,25,9,15,23,22,11
Herb_Bag_227,19,23,33,3,26,40,8
Herb_Bag_228,10,17,22,6,29,22,12
Herb_Bag_229,13,7,42,11,19,6,13
Herb_Bag_230,18,25,13,5,17,15,5
Herb_Bag_231,17,21,0,23,27,17,11
Herb_Bag_232,28,16,27,17,38,29,6
Herb_Bag_233,13,11,20,16,21,32,5
Herb_Bag_234,7,20,0,20,32,26,7
Herb_Bag_235,21,24,27,19,33,31,10
Herb_Bag_236,7,25,10,18,21,17,8
Herb_Bag_237,21,24,1,30,15,29,14
Herb_Bag_238,23,15,19,12,18,24,13
Herb_Bag_239,17,12,19,15,14,4,12
Herb_Bag_240,41,21,21,13,21,22,8
Herb_Bag_241,12,21,47,31,36,27,5
Herb_Bag_242,13,11,0,3,27,16,11
Herb_Bag_243,23,20,21,12,34,26,8
Herb_Bag_244,24,17,41,16,21,18,0
Herb_Bag_245,11,19,12,0,16,35,7
Herb_Bag_246,26,22,8,19,18,5,7
Herb_Bag_247,21,18,25,27,13,37,0
Herb_Bag_248,27,23,42,22,24,26,11
Herb_Bag_249,43,17,15,13,35,23,4
Herb_Bag_250,24,7,12,21,21,21,13
Herb_Bag_251,23,25,10,7,13,14,8
Herb_Bag_252,19,17,17,10,29,31,5
Herb_Bag_253,6,14,35,7,20,19,16
Herb_Bag_254,20,8,25,22,17,15,9
Herb_Bag_255,14,20,19,26,17,19,12
Herb_Bag_256,16,20,48,27,26,2,9
Herb_Bag_257,15,11,10,15,23,32,12
Herb_Bag_258,11,18,43,5,15,10,7
Herb_Bag_259,12,7,44,21,25,20,9
Herb_Bag_260,23,24,21,7,22,28,5
Herb_Bag_261,23,14,21,19,35,13,7
Herb_Bag_262,15,30,27,4,29,31,9
Herb_Bag_263,16,29,37,25,17,20,14
